mse,n_estimator,learning_rate
358.7569431395995,3000.0,0.1
358.32739783539955,3000.0,0.05
361.9382939352925,1000.0,0.01
2516.0454978590456,1000.0,0.001
12287.097297041657,1000.0,0.0001
358.83742466680957,1500.0,0.01
1246.527660046138,1500.0,0.001
11179.93821547124,1500.0,0.0001
358.15829561968366,2000.0,0.01
756.7709026268136,2000.0,0.001
10177.812405681623,2000.0,0.0001
357.9591029431505,2500.0,0.01
557.5638980328206,2500.0,0.001
9270.44951182449,2500.0,0.0001
357.9352957426435,3000.0,0.01
470.9008239366233,3000.0,0.001
8448.855691547891,3000.0,0.0001
